sales,CNYExchangeRateIndex,display_size,primary_camera,storage,battery,Prices
0.1,5.799696582,4,8,16,1440,2.816705184
1.12,57.99696582,4,8,16,1440,2.814613794
1.26,559.8524016,4,8,16,1440,2.814180981
0.765,512.1909868,4,8,16,1440,2.801341958
0.27,561.0463567,4,8,16,1440,2.788507752
0.71,560.596111,4,8,16,1440,2.77566869
0.22,497.5646187,4,8,16,1440,2.762836051
0.38,534.6758117,4,8,16,1440,2.749998977
0.26,522.2767374,4,8,16,1440,2.737160825
0.12,459.2074567,4,8,16,1440,2.724325032
0.04,448.6817881,4,8,16,1440,2.71148666
0.05,437.3355961,4,8,16,1440,2.698648507
0.07,425.161954,4,8,16,1440,2.685813369
0.08,414.4668866,4,8,16,1440,2.666779976
0.03,553.7156996,4,8,16,1440,2.666779976
0.05,445.0422806,4,8,16,1440,2.689406542
0.04,430.6344178,4,8,16,1440,2.628184508
0.03,544.3084708,4,8,16,1440,2.61658053
0.02,453.6335006,4,8,16,1440,2.583527489
0.01,300.0525868,4,8,16,1440,2.576709826
0.01,346.8116547,4,8,16,1440,2.578042935
0.01,267.8193849,4,8,16,1440,2.551998619
0.01,484.0725214,4,8,16,1440,2.522418149
0.78,222.7083487,4,8,32,1570,2.858934017
0.59,59.15690513,4,8,32,1570,2.84609577
0.51,5.799696582,4,8,32,1570,2.833261888
1.32,560.8931006,4,8,32,1570,2.820424791
0.83,600.8292143,4,8,32,1570,2.807582378
0.36,532.1604973,4,8,32,1570,2.794745898
0.3,569.4549427,4,8,32,1570,2.800675846
0.25,556.1068891,4,8,32,1570,2.800675846
0.46,490.956397,4,8,32,1570,2.812512284
0.4,549.0899828,4,8,32,1570,2.783617765
0.33,549.0899828,4,8,32,1570,2.823793638
0.52,510.1469454,4,8,32,1570,2.804773026
0.04,480.0327434,4,8,32,1570,2.785685668
0.05,520.8250049,4,8,32,1570,2.744191245
0.06,502.2018403,4,8,32,1570,2.730006634
0.06,483.2014712,4,8,32,1570,2.720630567
1.02,216.9086522,4.7,8,16,1810,2.796248143
1.03,111.3541744,4.7,8,16,1810,2.797468364
1.12,59.15690513,4.7,8,16,1810,2.780497331
1.23,544.6498674,4.7,8,16,1810,2.774487768
0.15,301.5869262,4.8,8,16,2100,2.529224966
0.45,15.07921111,4.8,8,16,2100,2.529224966
1.85,15.07921111,4.8,8,16,2100,2.529224966
1.195,391.0856294,4.8,8,16,2100,2.516389924
0.54,391.0856294,4.8,8,16,2100,2.503545557
0.22,249.3732261,4.8,8,16,2100,2.490716778
0.2,237.9105146,4.8,8,16,2100,2.47787338
0.27,302.43472,4.8,8,16,2100,2.465040635
0.13,224.8533889,4.8,8,16,2100,2.452200583
0.07,325.2987892,4.8,8,16,2100,2.439364278
0.02,231.1033929,4.8,8,16,2100,2.426527527
0.11,206.6565353,4.8,8,16,2100,2.41368526
0.02,233.420179,4.8,8,16,2100,2.400848705
0.23,301.5869262,4,8,32,1510,2.731548476
0.21,81.59266149,4,8,32,1510,2.718717537
0.51,301.5869262,4,8,32,1510,2.70588081
0.12,449.3130317,4,8,32,1510,2.693040679
0.5,391.4532082,4,8,32,1510,2.680199492
1.28,433.4908566,4,8,32,1510,2.667368888
